"","JV","season","bird_group","priority","SAR","estimate_type"
"664","PBHJV","nonbreeding","waterbirds","priority","all-conservation-status","percentage population"
"665","CIJV","breeding","landbirds","priority","all-conservation-status","percentage population"
"666","PBHJV","breeding","landbirds","priority","all-conservation-status","percentage population"
"667","CIJV","prebreeding","landbirds","priority","all-conservation-status","percentage population"
"668","PBHJV","prebreeding","landbirds","priority","all-conservation-status","percentage population"
"669","CIJV","postbreeding","landbirds","priority","all-conservation-status","percentage population"
"670","PBHJV","postbreeding","landbirds","priority","all-conservation-status","percentage population"
"671","CIJV","nonbreeding","landbirds","priority","all-conservation-status","percentage population"
"672","PBHJV","nonbreeding","landbirds","priority","all-conservation-status","percentage population"
"673","CIJV","breeding","waterfowl","priority","all-conservation-status","percentage population"
"674","PBHJV","breeding","waterfowl","priority","all-conservation-status","percentage population"
"675","CIJV","prebreeding","waterfowl","priority","all-conservation-status","percentage population"
"676","PBHJV","prebreeding","waterfowl","priority","all-conservation-status","percentage population"
"677","CIJV","postbreeding","waterfowl","priority","all-conservation-status","percentage population"
"678","PBHJV","postbreeding","waterfowl","priority","all-conservation-status","percentage population"
"679","CIJV","nonbreeding","waterfowl","priority","all-conservation-status","percentage population"
"680","PBHJV","nonbreeding","waterfowl","priority","all-conservation-status","percentage population"
"681","CIJV","breeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"682","PBHJV","breeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"683","CIJV","prebreeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"684","PBHJV","prebreeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"685","CIJV","postbreeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"686","PBHJV","postbreeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"687","CIJV","nonbreeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"688","PBHJV","nonbreeding","all-birds","all-priority-status","all-conservation-status","percentage population"
"689","CIJV","breeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"690","PBHJV","breeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"691","CIJV","prebreeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"692","PBHJV","prebreeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"693","CIJV","postbreeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"694","PBHJV","postbreeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"695","CIJV","nonbreeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"696","PBHJV","nonbreeding","shorebirds","all-priority-status","all-conservation-status","percentage population"
"697","CIJV","breeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"698","PBHJV","breeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"699","CIJV","prebreeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"700","PBHJV","prebreeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"701","CIJV","postbreeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"702","PBHJV","postbreeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"703","CIJV","nonbreeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"704","PBHJV","nonbreeding","waterbirds","all-priority-status","all-conservation-status","percentage population"
"705","CIJV","breeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"706","PBHJV","breeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"707","CIJV","prebreeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"708","PBHJV","prebreeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"709","CIJV","postbreeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"710","PBHJV","postbreeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"711","CIJV","nonbreeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"712","PBHJV","nonbreeding","landbirds","all-priority-status","all-conservation-status","percentage population"
"713","CIJV","breeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"714","PBHJV","breeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"715","CIJV","prebreeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"716","PBHJV","prebreeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"717","CIJV","postbreeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"718","PBHJV","postbreeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"719","CIJV","nonbreeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"720","PBHJV","nonbreeding","waterfowl","all-priority-status","all-conservation-status","percentage population"
"721","CIJV","breeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"722","PBHJV","breeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"723","CIJV","prebreeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"724","PBHJV","prebreeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"725","CIJV","postbreeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"726","PBHJV","postbreeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"727","CIJV","nonbreeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"728","PBHJV","nonbreeding","all-birds","no-priority","no-SAR","normalized mean relative abundance"
"729","CIJV","breeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"730","PBHJV","breeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"731","CIJV","prebreeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"732","PBHJV","prebreeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"733","CIJV","postbreeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"734","PBHJV","postbreeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"735","CIJV","nonbreeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"736","PBHJV","nonbreeding","shorebirds","no-priority","no-SAR","normalized mean relative abundance"
"737","CIJV","breeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"738","PBHJV","breeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"739","CIJV","prebreeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"740","PBHJV","prebreeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"741","CIJV","postbreeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"742","PBHJV","postbreeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"743","CIJV","nonbreeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"744","PBHJV","nonbreeding","waterbirds","no-priority","no-SAR","normalized mean relative abundance"
"745","CIJV","breeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"746","PBHJV","breeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"747","CIJV","prebreeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"748","PBHJV","prebreeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"749","CIJV","postbreeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"750","PBHJV","postbreeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"751","CIJV","nonbreeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"752","PBHJV","nonbreeding","landbirds","no-priority","no-SAR","normalized mean relative abundance"
"753","CIJV","breeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"754","PBHJV","breeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"755","CIJV","prebreeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"756","PBHJV","prebreeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"757","CIJV","postbreeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"758","PBHJV","postbreeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"759","CIJV","nonbreeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"760","PBHJV","nonbreeding","waterfowl","no-priority","no-SAR","normalized mean relative abundance"
"761","CIJV","breeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"762","PBHJV","breeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"763","CIJV","prebreeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"764","PBHJV","prebreeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"765","CIJV","postbreeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"766","PBHJV","postbreeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"767","CIJV","nonbreeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"768","PBHJV","nonbreeding","all-birds","priority","no-SAR","normalized mean relative abundance"
"769","CIJV","breeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"770","PBHJV","breeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"771","CIJV","prebreeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"772","PBHJV","prebreeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"773","CIJV","postbreeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"774","PBHJV","postbreeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"775","CIJV","nonbreeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"776","PBHJV","nonbreeding","shorebirds","priority","no-SAR","normalized mean relative abundance"
"777","CIJV","breeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"778","PBHJV","breeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"779","CIJV","prebreeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"780","PBHJV","prebreeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"781","CIJV","postbreeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"782","PBHJV","postbreeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"783","CIJV","nonbreeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"784","PBHJV","nonbreeding","waterbirds","priority","no-SAR","normalized mean relative abundance"
"785","CIJV","breeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"786","PBHJV","breeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"787","CIJV","prebreeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"788","PBHJV","prebreeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"789","CIJV","postbreeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"790","PBHJV","postbreeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"791","CIJV","nonbreeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"792","PBHJV","nonbreeding","landbirds","priority","no-SAR","normalized mean relative abundance"
"793","CIJV","breeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"794","PBHJV","breeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"795","CIJV","prebreeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"796","PBHJV","prebreeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"797","CIJV","postbreeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"798","PBHJV","postbreeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"799","CIJV","nonbreeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"800","PBHJV","nonbreeding","waterfowl","priority","no-SAR","normalized mean relative abundance"
"801","CIJV","breeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"802","PBHJV","breeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"803","CIJV","prebreeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"804","PBHJV","prebreeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"805","CIJV","postbreeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"806","PBHJV","postbreeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"807","CIJV","nonbreeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"808","PBHJV","nonbreeding","all-birds","all-priority-status","no-SAR","normalized mean relative abundance"
"809","CIJV","breeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"810","PBHJV","breeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"811","CIJV","prebreeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"812","PBHJV","prebreeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"813","CIJV","postbreeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"814","PBHJV","postbreeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"815","CIJV","nonbreeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"816","PBHJV","nonbreeding","shorebirds","all-priority-status","no-SAR","normalized mean relative abundance"
"817","CIJV","breeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"818","PBHJV","breeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"819","CIJV","prebreeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"820","PBHJV","prebreeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"821","CIJV","postbreeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"822","PBHJV","postbreeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"823","CIJV","nonbreeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"824","PBHJV","nonbreeding","waterbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"825","CIJV","breeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"826","PBHJV","breeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"827","CIJV","prebreeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"828","PBHJV","prebreeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"829","CIJV","postbreeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"830","PBHJV","postbreeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"831","CIJV","nonbreeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"832","PBHJV","nonbreeding","landbirds","all-priority-status","no-SAR","normalized mean relative abundance"
"833","CIJV","breeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"834","PBHJV","breeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"835","CIJV","prebreeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"836","PBHJV","prebreeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"837","CIJV","postbreeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"838","PBHJV","postbreeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"839","CIJV","nonbreeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"840","PBHJV","nonbreeding","waterfowl","all-priority-status","no-SAR","normalized mean relative abundance"
"841","CIJV","breeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"842","PBHJV","breeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"843","CIJV","prebreeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"844","PBHJV","prebreeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"845","CIJV","postbreeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"846","PBHJV","postbreeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"847","CIJV","nonbreeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"848","PBHJV","nonbreeding","all-birds","no-priority","SAR","normalized mean relative abundance"
"849","CIJV","breeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"850","PBHJV","breeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"851","CIJV","prebreeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"852","PBHJV","prebreeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"853","CIJV","postbreeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"854","PBHJV","postbreeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"855","CIJV","nonbreeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"856","PBHJV","nonbreeding","shorebirds","no-priority","SAR","normalized mean relative abundance"
"857","CIJV","breeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"858","PBHJV","breeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"859","CIJV","prebreeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"860","PBHJV","prebreeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"861","CIJV","postbreeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"862","PBHJV","postbreeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"863","CIJV","nonbreeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"864","PBHJV","nonbreeding","waterbirds","no-priority","SAR","normalized mean relative abundance"
"865","CIJV","breeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"866","PBHJV","breeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"867","CIJV","prebreeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"868","PBHJV","prebreeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"869","CIJV","postbreeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"870","PBHJV","postbreeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"871","CIJV","nonbreeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"872","PBHJV","nonbreeding","landbirds","no-priority","SAR","normalized mean relative abundance"
"873","CIJV","breeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"874","PBHJV","breeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"875","CIJV","prebreeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"876","PBHJV","prebreeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"877","CIJV","postbreeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"878","PBHJV","postbreeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"879","CIJV","nonbreeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"880","PBHJV","nonbreeding","waterfowl","no-priority","SAR","normalized mean relative abundance"
"881","CIJV","breeding","all-birds","priority","SAR","normalized mean relative abundance"
"882","PBHJV","breeding","all-birds","priority","SAR","normalized mean relative abundance"
"883","CIJV","prebreeding","all-birds","priority","SAR","normalized mean relative abundance"
"884","PBHJV","prebreeding","all-birds","priority","SAR","normalized mean relative abundance"
"885","CIJV","postbreeding","all-birds","priority","SAR","normalized mean relative abundance"
"886","PBHJV","postbreeding","all-birds","priority","SAR","normalized mean relative abundance"
"887","CIJV","nonbreeding","all-birds","priority","SAR","normalized mean relative abundance"
"888","PBHJV","nonbreeding","all-birds","priority","SAR","normalized mean relative abundance"
"889","CIJV","breeding","shorebirds","priority","SAR","normalized mean relative abundance"
"890","PBHJV","breeding","shorebirds","priority","SAR","normalized mean relative abundance"
"891","CIJV","prebreeding","shorebirds","priority","SAR","normalized mean relative abundance"
"892","PBHJV","prebreeding","shorebirds","priority","SAR","normalized mean relative abundance"
"893","CIJV","postbreeding","shorebirds","priority","SAR","normalized mean relative abundance"
"894","PBHJV","postbreeding","shorebirds","priority","SAR","normalized mean relative abundance"
"895","CIJV","nonbreeding","shorebirds","priority","SAR","normalized mean relative abundance"
"896","PBHJV","nonbreeding","shorebirds","priority","SAR","normalized mean relative abundance"
"897","CIJV","breeding","waterbirds","priority","SAR","normalized mean relative abundance"
"898","PBHJV","breeding","waterbirds","priority","SAR","normalized mean relative abundance"
"899","CIJV","prebreeding","waterbirds","priority","SAR","normalized mean relative abundance"
"900","PBHJV","prebreeding","waterbirds","priority","SAR","normalized mean relative abundance"
"901","CIJV","postbreeding","waterbirds","priority","SAR","normalized mean relative abundance"
"902","PBHJV","postbreeding","waterbirds","priority","SAR","normalized mean relative abundance"
"903","CIJV","nonbreeding","waterbirds","priority","SAR","normalized mean relative abundance"
"904","PBHJV","nonbreeding","waterbirds","priority","SAR","normalized mean relative abundance"
"905","CIJV","breeding","landbirds","priority","SAR","normalized mean relative abundance"
"906","PBHJV","breeding","landbirds","priority","SAR","normalized mean relative abundance"
"907","CIJV","prebreeding","landbirds","priority","SAR","normalized mean relative abundance"
"908","PBHJV","prebreeding","landbirds","priority","SAR","normalized mean relative abundance"
"909","CIJV","postbreeding","landbirds","priority","SAR","normalized mean relative abundance"
"910","PBHJV","postbreeding","landbirds","priority","SAR","normalized mean relative abundance"
"911","CIJV","nonbreeding","landbirds","priority","SAR","normalized mean relative abundance"
"912","PBHJV","nonbreeding","landbirds","priority","SAR","normalized mean relative abundance"
"913","CIJV","breeding","waterfowl","priority","SAR","normalized mean relative abundance"
"914","PBHJV","breeding","waterfowl","priority","SAR","normalized mean relative abundance"
"915","CIJV","prebreeding","waterfowl","priority","SAR","normalized mean relative abundance"
"916","PBHJV","prebreeding","waterfowl","priority","SAR","normalized mean relative abundance"
"917","CIJV","postbreeding","waterfowl","priority","SAR","normalized mean relative abundance"
"918","PBHJV","postbreeding","waterfowl","priority","SAR","normalized mean relative abundance"
"919","CIJV","nonbreeding","waterfowl","priority","SAR","normalized mean relative abundance"
"920","PBHJV","nonbreeding","waterfowl","priority","SAR","normalized mean relative abundance"
"921","CIJV","breeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"922","PBHJV","breeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"923","CIJV","prebreeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"924","PBHJV","prebreeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"925","CIJV","postbreeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"926","PBHJV","postbreeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"927","CIJV","nonbreeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"928","PBHJV","nonbreeding","all-birds","all-priority-status","SAR","normalized mean relative abundance"
"929","CIJV","breeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"930","PBHJV","breeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"931","CIJV","prebreeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"932","PBHJV","prebreeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"933","CIJV","postbreeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"934","PBHJV","postbreeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"935","CIJV","nonbreeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"936","PBHJV","nonbreeding","shorebirds","all-priority-status","SAR","normalized mean relative abundance"
"937","CIJV","breeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"938","PBHJV","breeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"939","CIJV","prebreeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"940","PBHJV","prebreeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"941","CIJV","postbreeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"942","PBHJV","postbreeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"943","CIJV","nonbreeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"944","PBHJV","nonbreeding","waterbirds","all-priority-status","SAR","normalized mean relative abundance"
"945","CIJV","breeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"946","PBHJV","breeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"947","CIJV","prebreeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"948","PBHJV","prebreeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"949","CIJV","postbreeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"950","PBHJV","postbreeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"951","CIJV","nonbreeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"952","PBHJV","nonbreeding","landbirds","all-priority-status","SAR","normalized mean relative abundance"
"953","CIJV","breeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"954","PBHJV","breeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"955","CIJV","prebreeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"956","PBHJV","prebreeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"957","CIJV","postbreeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"958","PBHJV","postbreeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"959","CIJV","nonbreeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"960","PBHJV","nonbreeding","waterfowl","all-priority-status","SAR","normalized mean relative abundance"
"961","CIJV","breeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"962","PBHJV","breeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"963","CIJV","prebreeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"964","PBHJV","prebreeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"965","CIJV","postbreeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"966","PBHJV","postbreeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"967","CIJV","nonbreeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"968","PBHJV","nonbreeding","all-birds","no-priority","all-conservation-status","normalized mean relative abundance"
"969","CIJV","breeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"970","PBHJV","breeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"971","CIJV","prebreeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"972","PBHJV","prebreeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"973","CIJV","postbreeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"974","PBHJV","postbreeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"975","CIJV","nonbreeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"976","PBHJV","nonbreeding","shorebirds","no-priority","all-conservation-status","normalized mean relative abundance"
"977","CIJV","breeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"978","PBHJV","breeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"979","CIJV","prebreeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"980","PBHJV","prebreeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"981","CIJV","postbreeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"982","PBHJV","postbreeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"983","CIJV","nonbreeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"984","PBHJV","nonbreeding","waterbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"985","CIJV","breeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"986","PBHJV","breeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"987","CIJV","prebreeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"988","PBHJV","prebreeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"989","CIJV","postbreeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"990","PBHJV","postbreeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"991","CIJV","nonbreeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"992","PBHJV","nonbreeding","landbirds","no-priority","all-conservation-status","normalized mean relative abundance"
"993","CIJV","breeding","waterfowl","no-priority","all-conservation-status","normalized mean relative abundance"
"994","PBHJV","breeding","waterfowl","no-priority","all-conservation-status","normalized mean relative abundance"
"995","CIJV","prebreeding","waterfowl","no-priority","all-conservation-status","normalized mean relative abundance"
"996","PBHJV","prebreeding","waterfowl","no-priority","all-conservation-status","normalized mean relative abundance"
"997","CIJV","postbreeding","waterfowl","no-priority","all-conservation-status","normalized mean relative abundance"
